icd10, model, hcc, hcc_label
Q059, v24, 72, Spina bifida, unspecified
Q060, v24, 72, Amyelia
Q061, v24, 72, Hypoplasia and dysplasia of spinal cord
Q062, v24, 72, Diastematomyelia
Q063, v24, 72, Other congenital cauda equina malformations
Q064, v24, 72, Hydromyelia
Q068, v24, 72, Other specified congenital malformations of spinal cord
Q069, v24, 72, Congenital malformation of spinal cord, unspecified
Q0700, v24, 72, Arnold-Chiari syndrome without spina bifida or hydrocephalus
Q0701, v24, 72, Arnold-Chiari syndrome with spina bifida
Q0702, v24, 72, Arnold-Chiari syndrome with hydrocephalus
Q0703, v24, 72, Arnold-Chiari syndrome with spina bifida and hydrocephalus
Q078, v24, 72, Other specified congenital malformations of nervous system
Q079, v24, 72, Congenital malformation of nervous system, unspecified
Q8500, v24, 12, Neurofibromatosis, unspecified
Q8501, v24, 12, Neurofibromatosis, type 1
Q8502, v24, 12, Neurofibromatosis, type 2
Q8503, v24, 12, Schwannomatosis
Q8509, v24, 12, Other neurofibromatosis
Q851, v24, 12, Tuberous sclerosis
Q8581, v24, 12, PTEN hamartoma tumor syndrome
Q8582, v24, 12, Other Cowden syndrome
Q8583, v24, 12, Von Hippel-Lindau syndrome
Q8589, v24, 12, Other phakomatoses, not elsewhere classified
Q859, v24, 12, Phakomatosis, unspecified
R092, v24, 83, Respiratory arrest
R4020, v24, 80, Unspecified coma
R402110, v24, 80, Coma scale, eyes open, never, unspecified time
R402111, v24, 80, Coma scale, eyes open, never, in the field [EMT or ambulance]
R402112, v24, 80, Coma scale, eyes open, never, at arrival to emergency department
R402113, v24, 80, Coma scale, eyes open, never, at hospital admission
R402114, v24, 80, Coma scale, eyes open, never, 24 hours or more after hospital admission
R402120, v24, 80, Coma scale, eyes open, to pain, unspecified time
R402121, v24, 80, Coma scale, eyes open, to pain, in the field [EMT or ambulance]
R402122, v24, 80, Coma scale, eyes open, to pain, at arrival to emergency department
R402123, v24, 80, Coma scale, eyes open, to pain, at hospital admission
R402124, v24, 80, Coma scale, eyes open, to pain, 24 hours or more after hospital admission
R402210, v24, 80, Coma scale, best verbal response, none, unspecified time
R402211, v24, 80, Coma scale, best verbal response, none, in the field [EMT or ambulance]
R402212, v24, 80, Coma scale, best verbal response, none, at arrival to emergency department
R402213, v24, 80, Coma scale, best verbal response, none, at hospital admission
R402214, v24, 80, Coma scale, best verbal response, none, 24 hours or more after hospital admission
R402220, v24, 80, Coma scale, best verbal response, incomprehensible words, unspecified time
R402221, v24, 80, Coma scale, best verbal response, incomprehensible words, in the field [EMT or ambulance]
R402222, v24, 80, Coma scale, best verbal response, incomprehensible words, at arrival to emergency department
R402223, v24, 80, Coma scale, best verbal response, incomprehensible words, at hospital admission
R402224, v24, 80, Coma scale, best verbal response, incomprehensible words, 24 hours or more after hospital admission
R402310, v24, 80, Coma scale, best motor response, none, unspecified time
R402311, v24, 80, Coma scale, best motor response, none, in the field [EMT or ambulance]
R402312, v24, 80, Coma scale, best motor response, none, at arrival to emergency department
R402313, v24, 80, Coma scale, best motor response, none, at hospital admission
R402314, v24, 80, Coma scale, best motor response, none, 24 hours or more after hospital admission
R402320, v24, 80, Coma scale, best motor response, extension, unspecified time
R402321, v24, 80, Coma scale, best motor response, extension, in the field [EMT or ambulance]
R402322, v24, 80, Coma scale, best motor response, extension, at arrival to emergency department
R402323, v24, 80, Coma scale, best motor response, extension, at hospital admission
R402324, v24, 80, Coma scale, best motor response, extension, 24 hours or more after hospital admission
R402340, v24, 80, Coma scale, best motor response, flexion withdrawal, unspecified time
R402341, v24, 80, Coma scale, best motor response, flexion withdrawal, in the field [EMT or ambulance]
R402342, v24, 80, Coma scale, best motor response, flexion withdrawal, at arrival to emergency department
R402343, v24, 80, Coma scale, best motor response, flexion withdrawal, at hospital admission
R402344, v24, 80, Coma scale, best motor response, flexion withdrawal, 24 hours or more after hospital admission
R402430, v24, 80, Glasgow coma scale score 3-8, unspecified time
R402431, v24, 80, Glasgow coma scale score 3-8, in the field [EMT or ambulance]
R402432, v24, 80, Glasgow coma scale score 3-8, at arrival to emergency department
R402433, v24, 80, Glasgow coma scale score 3-8, at hospital admission
R402434, v24, 80, Glasgow coma scale score 3-8, 24 hours or more after hospital admission
R402440, v24, 80, Other coma, without documented Glasgow coma scale score, or with partial score reported, unspecified time
R402441, v24, 80, Other coma, without documented Glasgow coma scale score, or with partial score reported, in the field [EMT or ambulance]
R402442, v24, 80, Other coma, without documented Glasgow coma scale score, or with partial score reported, at arrival to emergency department
R402443, v24, 80, Other coma, without documented Glasgow coma scale score, or with partial score reported, at hospital admission
R402444, v24, 80, Other coma, without documented Glasgow coma scale score, or with partial score reported, 24 hours or more after hospital admission
R402A, v24, 80, Nontraumatic coma due to underlying condition
R403, v24, 80, Persistent vegetative state
R4588, v24, 59, Nonsuicidal self-harm
R532, v24, 70, Functional quadriplegia
R5600, v24, 79, Simple febrile convulsions
R5601, v24, 79, Complex febrile convulsions
R561, v24, 79, Post traumatic seizures
R569, v24, 79, Unspecified convulsions
R570, v24, 84, Cardiogenic shock
R571, v24, 2, Hypovolemic shock
R578, v24, 2, Other shock
R579, v24, 84, Shock, unspecified
R64, v24, 21, Cachexia
R6510, v24, 2, Systemic inflammatory response syndrome (SIRS) of non-infectious origin without acute organ dysfunction
R6511, v24, 2, Systemic inflammatory response syndrome (SIRS) of non-infectious origin with acute organ dysfunction
R6520, v24, 2, Severe sepsis without septic shock
R6521, v24, 2, Severe sepsis with septic shock
S020XXA, v24, 167, Fracture of vault of skull, initial encounter for closed fracture
S020XXB, v24, 167, Fracture of vault of skull, initial encounter for open fracture
S020XXS, v24, 167, Fracture of vault of skull, sequela
S02101A, v24, 167, Fracture of base of skull, right side, initial encounter for closed fracture
S02101B, v24, 167, Fracture of base of skull, right side, initial encounter for open fracture
S02101S, v24, 167, Fracture of base of skull, right side, sequela
S02102A, v24, 167, Fracture of base of skull, left side, initial encounter for closed fracture
S02102B, v24, 167, Fracture of base of skull, left side, initial encounter for open fracture
S02102S, v24, 167, Fracture of base of skull, left side, sequela
S02109A, v24, 167, Fracture of base of skull, unspecified side, initial encounter for closed fracture
S02109B, v24, 167, Fracture of base of skull, unspecified side, initial encounter for open fracture
S02109S, v24, 167, Fracture of base of skull, unspecified side, sequela
S02110A, v24, 167, Type I occipital condyle fracture, unspecified side, initial encounter for closed fracture
S02110B, v24, 167, Type I occipital condyle fracture, unspecified side, initial encounter for open fracture
S02110S, v24, 167, Type I occipital condyle fracture, unspecified side, sequela
S02111A, v24, 167, Type II occipital condyle fracture, unspecified side, initial encounter for closed fracture
S02111B, v24, 167, Type II occipital condyle fracture, unspecified side, initial encounter for open fracture
S02111S, v24, 167, Type II occipital condyle fracture, unspecified side, sequela
S02112A, v24, 167, Type III occipital condyle fracture, unspecified side, initial encounter for closed fracture
S02112B, v24, 167, Type III occipital condyle fracture, unspecified side, initial encounter for open fracture
S02112S, v24, 167, Type III occipital condyle fracture, unspecified side, sequela
S02113A, v24, 167, Unspecified occipital condyle fracture, initial encounter for closed fracture
S02113B, v24, 167, Unspecified occipital condyle fracture, initial encounter for open fracture
S02113S, v24, 167, Unspecified occipital condyle fracture, sequela
S02118A, v24, 167, Other fracture of occiput, unspecified side, initial encounter for closed fracture
S02118B, v24, 167, Other fracture of occiput, unspecified side, initial encounter for open fracture
S02118S, v24, 167, Other fracture of occiput, unspecified side, sequela
S02119A, v24, 167, Unspecified fracture of occiput, initial encounter for closed fracture
S02119B, v24, 167, Unspecified fracture of occiput, initial encounter for open fracture
S02119S, v24, 167, Unspecified fracture of occiput, sequela
S0211AA, v24, 167, Type I occipital condyle fracture, right side, initial encounter for closed fracture
S0211AB, v24, 167, Type I occipital condyle fracture, right side, initial encounter for open fracture
S0211AS, v24, 167, Type I occipital condyle fracture, right side, sequela
S0211BA, v24, 167, Type I occipital condyle fracture, left side, initial encounter for closed fracture
S0211BB, v24, 167, Type I occipital condyle fracture, left side, initial encounter for open fracture
S0211BS, v24, 167, Type I occipital condyle fracture, left side, sequela
S0211CA, v24, 167, Type II occipital condyle fracture, right side, initial encounter for closed fracture
S0211CB, v24, 167, Type II occipital condyle fracture, right side, initial encounter for open fracture
S0211CS, v24, 167, Type II occipital condyle fracture, right side, sequela
S0211DA, v24, 167, Type II occipital condyle fracture, left side, initial encounter for closed fracture
S0211DB, v24, 167, Type II occipital condyle fracture, left side, initial encounter for open fracture
S0211DS, v24, 167, Type II occipital condyle fracture, left side, sequela
S0211EA, v24, 167, Type III occipital condyle fracture, right side, initial encounter for closed fracture
S0211EB, v24, 167, Type III occipital condyle fracture, right side, initial encounter for open fracture
S0211ES, v24, 167, Type III occipital condyle fracture, right side, sequela
S0211FA, v24, 167, Type III occipital condyle fracture, left side, initial encounter for closed fracture
S0211FB, v24, 167, Type III occipital condyle fracture, left side, initial encounter for open fracture
S0211FS, v24, 167, Type III occipital condyle fracture, left side, sequela
S0211GA, v24, 167, Other fracture of occiput, right side, initial encounter for closed fracture
S0211GB, v24, 167, Other fracture of occiput, right side, initial encounter for open fracture
S0211GS, v24, 167, Other fracture of occiput, right side, sequela
S0211HA, v24, 167, Other fracture of occiput, left side, initial encounter for closed fracture
S0211HB, v24, 167, Other fracture of occiput, left side, initial encounter for open fracture
S0211HS, v24, 167, Other fracture of occiput, left side, sequela
S02121A, v24, 167, Fracture of orbital roof, right side, initial encounter for closed fracture
S02121B, v24, 167, Fracture of orbital roof, right side, initial encounter for open fracture
S02121S, v24, 167, Fracture of orbital roof, right side, sequela
S02122A, v24, 167, Fracture of orbital roof, left side, initial encounter for closed fracture
S02122B, v24, 167, Fracture of orbital roof, left side, initial encounter for open fracture
S02122S, v24, 167, Fracture of orbital roof, left side, sequela
S02129A, v24, 167, Fracture of orbital roof, unspecified side, initial encounter for closed fracture
S02129B, v24, 167, Fracture of orbital roof, unspecified side, initial encounter for open fracture
S02129S, v24, 167, Fracture of orbital roof, unspecified side, sequela
S0219XA, v24, 167, Other fracture of base of skull, initial encounter for closed fracture
S0219XB, v24, 167, Other fracture of base of skull, initial encounter for open fracture
S0219XS, v24, 167, Other fracture of base of skull, sequela
S0230XA, v24, 167, Fracture of orbital floor, unspecified side, initial encounter for closed fracture
S0230XB, v24, 167, Fracture of orbital floor, unspecified side, initial encounter for open fracture
S0230XS, v24, 167, Fracture of orbital floor, unspecified side, sequela
S0231XA, v24, 167, Fracture of orbital floor, right side, initial encounter for closed fracture
S0231XB, v24, 167, Fracture of orbital floor, right side, initial encounter for open fracture
S0231XS, v24, 167, Fracture of orbital floor, right side, sequela
S0232XA, v24, 167, Fracture of orbital floor, left side, initial encounter for closed fracture
S0232XB, v24, 167, Fracture of orbital floor, left side, initial encounter for open fracture
S0232XS, v24, 167, Fracture of orbital floor, left side, sequela
S02400A, v24, 167, Malar fracture, unspecified side, initial encounter for closed fracture
S02400B, v24, 167, Malar fracture, unspecified side, initial encounter for open fracture
S02400S, v24, 167, Malar fracture, unspecified side, sequela
S02401A, v24, 167, Maxillary fracture, unspecified side, initial encounter for closed fracture
S02401B, v24, 167, Maxillary fracture, unspecified side, initial encounter for open fracture
S02401S, v24, 167, Maxillary fracture, unspecified side, sequela
S02402A, v24, 167, Zygomatic fracture, unspecified side, initial encounter for closed fracture
S02402B, v24, 167, Zygomatic fracture, unspecified side, initial encounter for open fracture
S02402S, v24, 167, Zygomatic fracture, unspecified side, sequela
S0240AA, v24, 167, Malar fracture, right side, initial encounter for closed fracture
S0240AB, v24, 167, Malar fracture, right side, initial encounter for open fracture
S0240AS, v24, 167, Malar fracture, right side, sequela
S0240BA, v24, 167, Malar fracture, left side, initial encounter for closed fracture
S0240BB, v24, 167, Malar fracture, left side, initial encounter for open fracture
S0240BS, v24, 167, Malar fracture, left side, sequela
S0240CA, v24, 167, Maxillary fracture, right side, initial encounter for closed fracture
S0240CB, v24, 167, Maxillary fracture, right side, initial encounter for open fracture
S0240CS, v24, 167, Maxillary fracture, right side, sequela
S0240DA, v24, 167, Maxillary fracture, left side, initial encounter for closed fracture
S0240DB, v24, 167, Maxillary fracture, left side, initial encounter for open fracture
S0240DS, v24, 167, Maxillary fracture, left side, sequela
S0240EA, v24, 167, Zygomatic fracture, right side, initial encounter for closed fracture
S0240EB, v24, 167, Zygomatic fracture, right side, initial encounter for open fracture
S0240ES, v24, 167, Zygomatic fracture, right side, sequela
S0240FA, v24, 167, Zygomatic fracture, left side, initial encounter for closed fracture
S0240FB, v24, 167, Zygomatic fracture, left side, initial encounter for open fracture
S0240FS, v24, 167, Zygomatic fracture, left side, sequela
S02411A, v24, 167, LeFort I fracture, initial encounter for closed fracture
S02411B, v24, 167, LeFort I fracture, initial encounter for open fracture
S02411S, v24, 167, LeFort I fracture, sequela
S02412A, v24, 167, LeFort II fracture, initial encounter for closed fracture
S02412B, v24, 167, LeFort II fracture, initial encounter for open fracture
S02412S, v24, 167, LeFort II fracture, sequela
S02413A, v24, 167, LeFort III fracture, initial encounter for closed fracture
S02413B, v24, 167, LeFort III fracture, initial encounter for open fracture
S02413S, v24, 167, LeFort III fracture, sequela
S0242XA, v24, 167, Fracture of alveolus of maxilla, initial encounter for closed fracture
S0242XB, v24, 167, Fracture of alveolus of maxilla, initial encounter for open fracture
S0242XS, v24, 167, Fracture of alveolus of maxilla, sequela
S02600A, v24, 167, Fracture of unspecified part of body of mandible, unspecified side, initial encounter for closed fracture
S02600B, v24, 167, Fracture of unspecified part of body of mandible, unspecified side, initial encounter for open fracture
S02600S, v24, 167, Fracture of unspecified part of body of mandible, unspecified side, sequela
S02601A, v24, 167, Fracture of unspecified part of body of right mandible, initial encounter for closed fracture
S02601B, v24, 167, Fracture of unspecified part of body of right mandible, initial encounter for open fracture
S02601S, v24, 167, Fracture of unspecified part of body of right mandible, sequela
S02602A, v24, 167, Fracture of unspecified part of body of left mandible, initial encounter for closed fracture
S02602B, v24, 167, Fracture of unspecified part of body of left mandible, initial encounter for open fracture
S02602S, v24, 167, Fracture of unspecified part of body of left mandible, sequela
S02609A, v24, 167, Fracture of mandible, unspecified, initial encounter for closed fracture
S02609B, v24, 167, Fracture of mandible, unspecified, initial encounter for open fracture
S02609S, v24, 167, Fracture of mandible, unspecified, sequela
S02610A, v24, 167, Fracture of condylar process of mandible, unspecified side, initial encounter for closed fracture
S02610B, v24, 167, Fracture of condylar process of mandible, unspecified side, initial encounter for open fracture
S02610S, v24, 167, Fracture of condylar process of mandible, unspecified side, sequela
S02611A, v24, 167, Fracture of condylar process of right mandible, initial encounter for closed fracture
S02611B, v24, 167, Fracture of condylar process of right mandible, initial encounter for open fracture
S02611S, v24, 167, Fracture of condylar process of right mandible, sequela
S02612A, v24, 167, Fracture of condylar process of left mandible, initial encounter for closed fracture
S02612B, v24, 167, Fracture of condylar process of left mandible, initial encounter for open fracture
S02612S, v24, 167, Fracture of condylar process of left mandible, sequela
S02620A, v24, 167, Fracture of subcondylar process of mandible, unspecified side, initial encounter for closed fracture
S02620B, v24, 167, Fracture of subcondylar process of mandible, unspecified side, initial encounter for open fracture
S02620S, v24, 167, Fracture of subcondylar process of mandible, unspecified side, sequela
S02621A, v24, 167, Fracture of subcondylar process of right mandible, initial encounter for closed fracture
S02621B, v24, 167, Fracture of subcondylar process of right mandible, initial encounter for open fracture
S02621S, v24, 167, Fracture of subcondylar process of right mandible, sequela
S02622A, v24, 167, Fracture of subcondylar process of left mandible, initial encounter for closed fracture
S02622B, v24, 167, Fracture of subcondylar process of left mandible, initial encounter for open fracture
S02622S, v24, 167, Fracture of subcondylar process of left mandible, sequela
S02630A, v24, 167, Fracture of coronoid process of mandible, unspecified side, initial encounter for closed fracture
S02630B, v24, 167, Fracture of coronoid process of mandible, unspecified side, initial encounter for open fracture
S02630S, v24, 167, Fracture of coronoid process of mandible, unspecified side, sequela
S02631A, v24, 167, Fracture of coronoid process of right mandible, initial encounter for closed fracture
S02631B, v24, 167, Fracture of coronoid process of right mandible, initial encounter for open fracture
S02631S, v24, 167, Fracture of coronoid process of right mandible, sequela
S02632A, v24, 167, Fracture of coronoid process of left mandible, initial encounter for closed fracture
S02632B, v24, 167, Fracture of coronoid process of left mandible, initial encounter for open fracture
S02632S, v24, 167, Fracture of coronoid process of left mandible, sequela
S02640A, v24, 167, Fracture of ramus of mandible, unspecified side, initial encounter for closed fracture
S02640B, v24, 167, Fracture of ramus of mandible, unspecified side, initial encounter for open fracture
S02640S, v24, 167, Fracture of ramus of mandible, unspecified side, sequela
S02641A, v24, 167, Fracture of ramus of right mandible, initial encounter for closed fracture
S02641B, v24, 167, Fracture of ramus of right mandible, initial encounter for open fracture
S02641S, v24, 167, Fracture of ramus of right mandible, sequela
S02642A, v24, 167, Fracture of ramus of left mandible, initial encounter for closed fracture
S02642B, v24, 167, Fracture of ramus of left mandible, initial encounter for open fracture
S02642S, v24, 167, Fracture of ramus of left mandible, sequela
S02650A, v24, 167, Fracture of angle of mandible, unspecified side, initial encounter for closed fracture
S02650B, v24, 167, Fracture of angle of mandible, unspecified side, initial encounter for open fracture
S02650S, v24, 167, Fracture of angle of mandible, unspecified side, sequela
S02651A, v24, 167, Fracture of angle of right mandible, initial encounter for closed fracture
S02651B, v24, 167, Fracture of angle of right mandible, initial encounter for open fracture
S02651S, v24, 167, Fracture of angle of right mandible, sequela
S02652A, v24, 167, Fracture of angle of left mandible, initial encounter for closed fracture
S02652B, v24, 167, Fracture of angle of left mandible, initial encounter for open fracture
S02652S, v24, 167, Fracture of angle of left mandible, sequela
S0266XA, v24, 167, Fracture of symphysis of mandible, initial encounter for closed fracture
S0266XB, v24, 167, Fracture of symphysis of mandible, initial encounter for open fracture
S0266XS, v24, 167, Fracture of symphysis of mandible, sequela
S02670A, v24, 167, Fracture of alveolus of mandible, unspecified side, initial encounter for closed fracture
S02670B, v24, 167, Fracture of alveolus of mandible, unspecified side, initial encounter for open fracture
S02670S, v24, 167, Fracture of alveolus of mandible, unspecified side, sequela
S02671A, v24, 167, Fracture of alveolus of right mandible, initial encounter for closed fracture
S02671B, v24, 167, Fracture of alveolus of right mandible, initial encounter for open fracture
S02671S, v24, 167, Fracture of alveolus of right mandible, sequela
S02672A, v24, 167, Fracture of alveolus of left mandible, initial encounter for closed fracture
S02672B, v24, 167, Fracture of alveolus of left mandible, initial encounter for open fracture
S02672S, v24, 167, Fracture of alveolus of left mandible, sequela
S0269XA, v24, 167, Fracture of mandible of other specified site, initial encounter for closed fracture
S0269XB, v24, 167, Fracture of mandible of other specified site, initial encounter for open fracture
S0269XS, v24, 167, Fracture of mandible of other specified site, sequela
S0280XA, v24, 167, Fracture of other specified skull and facial bones, unspecified side, initial encounter for closed fracture
S0280XB, v24, 167, Fracture of other specified skull and facial bones, unspecified side, initial encounter for open fracture
S0280XS, v24, 167, Fracture of other specified skull and facial bones, unspecified side, sequela
S0281XA, v24, 167, Fracture of other specified skull and facial bones, right side, initial encounter for closed fracture
S0281XB, v24, 167, Fracture of other specified skull and facial bones, right side, initial encounter for open fracture
S0281XS, v24, 167, Fracture of other specified skull and facial bones, right side, sequela
S0282XA, v24, 167, Fracture of other specified skull and facial bones, left side, initial encounter for closed fracture
S0282XB, v24, 167, Fracture of other specified skull and facial bones, left side, initial encounter for open fracture
S0282XS, v24, 167, Fracture of other specified skull and facial bones, left side, sequela
S02831A, v24, 167, Fracture of medial orbital wall, right side, initial encounter for closed fracture
S02831B, v24, 167, Fracture of medial orbital wall, right side, initial encounter for open fracture
S02831S, v24, 167, Fracture of medial orbital wall, right side, sequela
S02832A, v24, 167, Fracture of medial orbital wall, left side, initial encounter for closed fracture
S02832B, v24, 167, Fracture of medial orbital wall, left side, initial encounter for open fracture
S02832S, v24, 167, Fracture of medial orbital wall, left side, sequela
S02839A, v24, 167, Fracture of medial orbital wall, unspecified side, initial encounter for closed fracture
S02839B, v24, 167, Fracture of medial orbital wall, unspecified side, initial encounter for open fracture
S02839S, v24, 167, Fracture of medial orbital wall, unspecified side, sequela
S02841A, v24, 167, Fracture of lateral orbital wall, right side, initial encounter for closed fracture
S02841B, v24, 167, Fracture of lateral orbital wall, right side, initial encounter for open fracture
S02841S, v24, 167, Fracture of lateral orbital wall, right side, sequela
S02842A, v24, 167, Fracture of lateral orbital wall, left side, initial encounter for closed fracture
S02842B, v24, 167, Fracture of lateral orbital wall, left side, initial encounter for open fracture
S02842S, v24, 167, Fracture of lateral orbital wall, left side, sequela
S02849A, v24, 167, Fracture of lateral orbital wall, unspecified side, initial encounter for closed fracture
S02849B, v24, 167, Fracture of lateral orbital wall, unspecified side, initial encounter for open fracture
S02849S, v24, 167, Fracture of lateral orbital wall, unspecified side, sequela
S0285XA, v24, 167, Fracture of orbit, unspecified, initial encounter for closed fracture
S0285XB, v24, 167, Fracture of orbit, unspecified, initial encounter for open fracture
S0285XS, v24, 167, Fracture of orbit, unspecified, sequela
S0291XA, v24, 167, Unspecified fracture of skull, initial encounter for closed fracture
S0291XB, v24, 167, Unspecified fracture of skull, initial encounter for open fracture
S0291XS, v24, 167, Unspecified fracture of skull, sequela
S0292XA, v24, 167, Unspecified fracture of facial bones, initial encounter for closed fracture
S0292XB, v24, 167, Unspecified fracture of facial bones, initial encounter for open fracture
S0292XS, v24, 167, Unspecified fracture of facial bones, sequela
S060X0S, v24, 167, Concussion without loss of consciousness, sequela
S060X1S, v24, 167, Concussion with loss of consciousness of 30 minutes or less, sequela
S060X9S, v24, 167, Concussion with loss of consciousness of unspecified duration, sequela
S060XAS, v24, 167, Concussion with loss of consciousness status unknown, sequela
S061X0A, v24, 167, Traumatic cerebral edema without loss of consciousness, initial encounter
S061X0S, v24, 167, Traumatic cerebral edema without loss of consciousness, sequela
S061X1A, v24, 167, Traumatic cerebral edema with loss of consciousness of 30 minutes or less, initial encounter
S061X1S, v24, 167, Traumatic cerebral edema with loss of consciousness of 30 minutes or less, sequela
S061X2A, v24, 167, Traumatic cerebral edema with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S061X2S, v24, 167, Traumatic cerebral edema with loss of consciousness of 31 minutes to 59 minutes, sequela
S061X3A, v24, 166, Traumatic cerebral edema with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter
S061X3S, v24, 167, Traumatic cerebral edema with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela
S061X4A, v24, 166, Traumatic cerebral edema with loss of consciousness of 6 hours to 24 hours, initial encounter
S061X4S, v24, 167, Traumatic cerebral edema with loss of consciousness of 6 hours to 24 hours, sequela
S061X5A, v24, 166, Traumatic cerebral edema with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S061X5S, v24, 167, Traumatic cerebral edema with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela
S061X6A, v24, 166, Traumatic cerebral edema with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S061X6S, v24, 167, Traumatic cerebral edema with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela
S061X9A, v24, 167, Traumatic cerebral edema with loss of consciousness of unspecified duration, initial encounter
S061X9S, v24, 167, Traumatic cerebral edema with loss of consciousness of unspecified duration, sequela
S061XAA, v24, 167, Traumatic cerebral edema with loss of consciousness status unknown, initial encounter
S061XAS, v24, 167, Traumatic cerebral edema with loss of consciousness status unknown, sequela
S062X0A, v24, 167, Diffuse traumatic brain injury without loss of consciousness, initial encounter
S062X0S, v24, 167, Diffuse traumatic brain injury without loss of consciousness, sequela
S062X1A, v24, 167, Diffuse traumatic brain injury with loss of consciousness of 30 minutes or less, initial encounter
S062X1S, v24, 167, Diffuse traumatic brain injury with loss of consciousness of 30 minutes or less, sequela
S062X2A, v24, 167, Diffuse traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S062X2S, v24, 167, Diffuse traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes, sequela
S062X3A, v24, 166, Diffuse traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter
S062X3S, v24, 167, Diffuse traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela
S062X4A, v24, 166, Diffuse traumatic brain injury with loss of consciousness of 6 hours to 24 hours, initial encounter
S062X4S, v24, 167, Diffuse traumatic brain injury with loss of consciousness of 6 hours to 24 hours, sequela
S062X5A, v24, 166, Diffuse traumatic brain injury with loss of consciousness greater than 24 hours with return to pre-existing conscious levels, initial encounter
S062X5S, v24, 167, Diffuse traumatic brain injury with loss of consciousness greater than 24 hours with return to pre-existing conscious levels, sequela
S062X6A, v24, 166, Diffuse traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S062X6S, v24, 167, Diffuse traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela
S062X9A, v24, 167, Diffuse traumatic brain injury with loss of consciousness of unspecified duration, initial encounter
S062X9S, v24, 167, Diffuse traumatic brain injury with loss of consciousness of unspecified duration, sequela
S062XAA, v24, 167, Diffuse traumatic brain injury with loss of consciousness status unknown, initial encounter
S062XAS, v24, 167, Diffuse traumatic brain injury with loss of consciousness status unknown, sequela
S06300A, v24, 167, Unspecified focal traumatic brain injury without loss of consciousness, initial encounter
S06300S, v24, 167, Unspecified focal traumatic brain injury without loss of consciousness, sequela
S06301A, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness of 30 minutes or less, initial encounter
S06301S, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness of 30 minutes or less, sequela
S06302A, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06302S, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness of 31 minutes to 59 minutes, sequela
S06303A, v24, 166, Unspecified focal traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter
S06303S, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela
S06304A, v24, 166, Unspecified focal traumatic brain injury with loss of consciousness of 6 hours to 24 hours, initial encounter
S06304S, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness of 6 hours to 24 hours, sequela
S06305A, v24, 166, Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S06305S, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela
S06306A, v24, 166, Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06306S, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela
S06309A, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness of unspecified duration, initial encounter
S06309S, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness of unspecified duration, sequela
S0630AA, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness status unknown, initial encounter
S0630AS, v24, 167, Unspecified focal traumatic brain injury with loss of consciousness status unknown, sequela
S06310A, v24, 167, Contusion and laceration of right cerebrum without loss of consciousness, initial encounter
S06310S, v24, 167, Contusion and laceration of right cerebrum without loss of consciousness, sequela
S06311A, v24, 167, Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less, initial encounter
S06311S, v24, 167, Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less, sequela
S06312A, v24, 167, Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06312S, v24, 167, Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, sequela
S06313A, v24, 166, Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter
S06313S, v24, 167, Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela
